               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  63,            0.035713,            0.013495,            0.022812,             0.61749,             0.83434,             0.73455,             0.47908,            0.030801,           0.0096939,            0.020629,            0.003862,            0.003862,            0.003862
                  64,            0.035207,            0.012711,            0.023145,             0.64072,             0.84626,             0.72924,             0.47789,            0.031131,             0.01009,            0.020273,            0.003763,            0.003763,            0.003763
                  65,            0.035593,            0.012721,            0.022037,             0.57035,              0.8158,             0.70678,             0.46511,            0.031772,            0.010019,            0.022584,            0.003664,            0.003664,            0.003664
                  66,            0.034209,            0.012803,             0.02199,             0.63912,              0.8643,             0.73657,             0.48989,            0.030947,            0.010207,            0.019896,            0.003565,            0.003565,            0.003565
                  67,            0.033594,            0.012046,            0.021747,             0.64174,             0.85128,             0.74637,             0.49584,            0.031123,           0.0096457,            0.019561,            0.003466,            0.003466,            0.003466
                  68,            0.035549,             0.01251,            0.022987,             0.56304,             0.79897,             0.69081,              0.4567,            0.031172,           0.0097543,            0.022123,            0.003367,            0.003367,            0.003367
                  69,            0.036315,            0.012865,            0.022129,             0.60646,             0.86106,             0.74298,             0.48377,            0.030842,           0.0098842,            0.020045,            0.003268,            0.003268,            0.003268
                  70,            0.035581,            0.013338,            0.023106,             0.63462,             0.81321,             0.74545,             0.49256,            0.030664,            0.010021,            0.020198,            0.003169,            0.003169,            0.003169
                  71,            0.034233,            0.012563,            0.023706,             0.66156,             0.82597,             0.75197,             0.48464,            0.031388,             0.01171,            0.020571,             0.00307,             0.00307,             0.00307
                  72,            0.033766,            0.011743,            0.021508,             0.64271,             0.86346,             0.76231,             0.49664,            0.030699,           0.0096691,            0.019413,            0.002971,            0.002971,            0.002971
                  73,            0.032219,             0.01203,            0.021754,             0.62881,             0.85031,             0.75251,             0.50029,            0.030677,            0.009655,            0.019703,            0.002872,            0.002872,            0.002872
                  74,             0.03376,            0.012508,             0.02154,              0.6292,               0.819,              0.7429,             0.49165,            0.030472,            0.009646,            0.019572,            0.002773,            0.002773,            0.002773
                  75,            0.032803,            0.012577,            0.020568,              0.6269,             0.85388,             0.74061,              0.4917,            0.030681,           0.0096422,            0.019507,            0.002674,            0.002674,            0.002674
                  76,            0.035327,            0.013468,            0.021763,             0.65117,             0.85337,               0.753,             0.49829,            0.030067,            0.009747,             0.01963,            0.002575,            0.002575,            0.002575
                  77,              0.0337,            0.012766,            0.021081,             0.66066,             0.84459,             0.76492,             0.50722,            0.030144,           0.0097088,            0.018375,            0.002476,            0.002476,            0.002476
                  78,            0.034039,            0.013072,            0.021862,             0.63971,             0.83625,             0.74642,             0.50003,            0.029936,           0.0095746,            0.018504,            0.002377,            0.002377,            0.002377
                  79,            0.034293,            0.012445,            0.021405,             0.67796,             0.85245,             0.76857,             0.51565,            0.029595,           0.0097304,            0.017922,            0.002278,            0.002278,            0.002278
                  80,            0.035022,            0.012901,            0.022411,             0.68014,             0.83036,             0.77331,             0.52024,            0.029603,           0.0097017,            0.018575,            0.002179,            0.002179,            0.002179
